35,62.9588
36,57.0793
37,51.8439
38,51.6335
39,48.86
40,45.1046
41,42.4949
42,34.8872
43,31.3473
44,19.0404
45,16.1006
46,58.2845
47,56.8476
48,54.4645
49,47.7378
50,48.2594
51,39.8596
52,37.898
53,31.3927
54,31.7121
55,27.8848
56,29.3948
57,57.5867
58,58.1398
59,52.7476
60,44.6905
61,49.3781
62,50.7191
63,41.9407
64,39.7081
65,37.2808
66,35.6967
67,27.8214
68,69.9604
205,65.4304
206,61.9784
207,60.6536
208,56.3198
209,56.8202
210,53.27
211,48.0282
212,44.5712
213,27.3416
214,19.3861
215,17.301
216,61.3127
217,60.5541
218,60.4048
219,52.9654
220,50.7295
221,51.546
222,43.0661
223,43.5299
224,37.5632
225,33.4096
226,29.8204
227,60.7049
228,62.4242
229,59.6005
230,55.6546
231,54.8414
232,52.3725
233,49.6385
234,43.1487
235,39.3187
236,32.9439
237,32.7549
238,68.0506
375,65.7687
376,63.4215
377,61.9966
378,64.4079
379,59.6799
380,54.9436
381,53.9897
382,41.4256
383,36.766
384,21.1477
385,19.3684
386,64.2271
387,64.4888
388,64.353
389,57.3845
390,63.0952
391,57.6782
392,52.6278
393,49.5514
394,47.7689
395,38.9519
396,38.971
397,63.2464
398,63.2578
399,66.0993
400,68.3569
401,60.2226
402,59.8319
403,56.2792
404,53.2123
405,52.216
406,45.2489
407,43.4799
408,64.0715
