ref,dis,mos,dis_situation,dis_type,dis_level,source_link
ref1.jpg,invalid,2.1,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref2.jpg,invalid,2.6,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref3.jpg,invalid,2.1,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref4.jpg,invalid,3.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref5.jpg,invalid,2.6,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref6.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref7.jpg,invalid,2.4,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref8.jpg,invalid,2.8,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref9.jpg,invalid,2.6,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref10.jpg,invalid,2.5454545454545454,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref11.jpg,invalid,1.818181818181818,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref12.jpg,invalid,2.333333333333333,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref13.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref14.jpg,invalid,2.8,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref15.jpg,invalid,2.4,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref16.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref17.jpg,invalid,2.4,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref18.jpg,invalid,1.7777777777777777,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref19.jpg,invalid,1.5,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref20.jpg,invalid,1.5,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref21.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref22.jpg,invalid,2.6666666666666665,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref23.jpg,invalid,1.6666666666666667,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref24.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref25.jpg,invalid,2.3,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref26.png,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://github.com/LXLHXL123/JUFE-VRIQA
ref27.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref28.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref29.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://salient360.ls2n.fr/datasets/training-dataset/
ref30.jpg,invalid,2.333333333333333,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref31.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref32.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref33.jpg,invalid,3.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref34.jpg,invalid,2.333333333333333,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref35.png,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://github.com/LXLHXL123/JUFE-VRIQA
ref36.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref37.jpg,invalid,2.727272727272727,no perceptibly distorted region,invalid,invalid,https://salient360.ls2n.fr/datasets/training-dataset/
ref38.jpg,invalid,2.3,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref39.jpg,invalid,2.111111111111111,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref40.jpg,invalid,2.1,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref41.jpg,invalid,1.2727272727272727,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref42.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref43.jpg,invalid,2.3,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref44.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref45.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref46.jpg,invalid,2.5,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref47.jpg,invalid,2.333333333333333,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref48.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref49.jpg,invalid,2.8,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref50.jpg,invalid,2.111111111111111,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref51.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref52.jpg,invalid,2.555555555555556,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref53.jpg,invalid,2.636363636363636,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref54.jpg,invalid,2.2,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref55.jpg,invalid,1.6363636363636365,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref56.jpg,invalid,2.1,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref57.jpg,invalid,1.8,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref58.jpg,invalid,3.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref59.jpg,invalid,2.5,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref60.jpg,invalid,2.0,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref61.jpg,invalid,2.3,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
ref62.jpg,invalid,1.8888888888888888,no perceptibly distorted region,invalid,invalid,https://www.flickr.com/groups/flickrvr/
